Longitude,Latitude,month,year,Sample Depth [m],Temp,Salinity,d18O,dD,notes,Citation
-37.45929,-32.08940,3,2011,3498.000,1.83000,34.824001,-0.19000,-0.93000,,Geotraces Rijkenberg et al. (2011)
-34.27911,-26.08910,3,2011,1752.000,3.37300,34.874001,-0.19000,0.16000,,Geotraces Rijkenberg et al. (2011)
-34.27911,-26.08910,3,2011,2001.000,3.34100,34.929001,-0.19000,0.38000,,Geotraces Rijkenberg et al. (2011)
-32.87811,-0.18715,3,2011,3999.000,2.08600,34.868999,-0.19000,-0.51000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,1874.000,1.91300,34.703999,-0.18000,-0.51000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,3501.000,0.96800,34.710999,-0.18000,-2.12000,,Geotraces Rijkenberg et al. (2011)
-41.13089,-37.83980,3,2011,2998.000,2.05100,34.790001,-0.18000,-0.19000,,Geotraces Rijkenberg et al. (2011)
-29.22729,-12.89400,3,2011,2500.000,2.81000,34.910000,-0.18000,-1.32000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,800.000,2.64200,34.444000,-0.17000,-0.84000,,Geotraces Rijkenberg et al. (2011)
-52.68811,-49.54720,3,2011,987.000,2.47700,34.528000,-0.17000,-1.03000,,Geotraces Rijkenberg et al. (2011)
-48.73471,-48.89420,3,2011,10.000,10.12300,33.970001,-0.17000,-2.71000,,Geotraces Rijkenberg et al. (2011)
-45.5361,-44.70680,3,2011,1501.000,2.70500,34.667999,-0.17000,-1.28000,,Geotraces Rijkenberg et al. (2011)
-44.02579,-42.37130,3,2011,24.000,16.34700,34.580002,-0.17000,-0.28000,,Geotraces Rijkenberg et al. (2011)
-34.27911,-26.08910,3,2011,400.000,12.89500,35.210999,-0.17000,2.56000,,Geotraces Rijkenberg et al. (2011)
-32.74438,-22.47150,3,2011,3499.000,2.35600,34.888000,-0.17000,0.86000,,Geotraces Rijkenberg et al. (2011)
-29.22729,-12.89400,3,2011,500.000,6.54700,34.539001,-0.17000,-1.72000,,Geotraces Rijkenberg et al. (2011)
-28,-9.15415,3,2011,400.000,7.76600,34.549000,-0.17000,-0.35000,,Geotraces Rijkenberg et al. (2011)
-28,-9.15415,3,2011,2499.000,2.96500,34.928001,-0.17000,-1.13000,,Geotraces Rijkenberg et al. (2011)
-28,-9.15415,3,2011,4000.000,1.75400,34.827000,-0.17000,-0.82000,,Geotraces Rijkenberg et al. (2011)
-32.87811,-0.18715,3,2011,2498.000,2.94500,34.938000,-0.17000,-0.82000,,Geotraces Rijkenberg et al. (2011)
