Longitude,Latitude,month,year,Sample Depth (m),Temp,Salinity,d18O,dD,notes,Citation
29.9988,-58.9947,2,2008,0,1.2521,33.8204,-0.34,-99.9,,Brown et al. (2014)
29.9983,-59.9988,2,2008,0,-0.5995,34.1053,-0.34,-99.9,,Brown et al. (2014)
29.9966,-61.9994,2,2008,0,0.8608,33.7468,-0.34,-99.9,,Brown et al. (2014)
29.9966,-64.0001,2,2008,0,-1.5813,34.2018,-0.34,-99.9,,Brown et al. (2014)
29.9997,-65.0001,2,2008,0,0.1522,33.919,-0.34,-99.9,,Brown et al. (2014)
30,-67,3,2008,0,-0.5814,34.0345,-0.34,-99.9,,Brown et al. (2014)
31.3703,-68.3502,3,2008,0,-0.9886,34.0062,-0.34,-99.9,,Brown et al. (2014)
31.5311,-68.3996,3,2008,0,-1.7549,34.2197,-0.34,-99.9,,Brown et al. (2014)
-3.11,-59.618,1,2009,0,-0.4387,34.6447,-0.337462125,-99.9,,Brown et al. (2014)
15.3751,-57.5375,1,2009,0,-0.4275,33.7972,-0.336946519,-99.9,,Brown et al. (2014)
22.2473,-56.2449,1,2009,0,-0.1371,33.6345,-0.336478398,-99.9,,Brown et al. (2014)
7.7594,-58.3312,1,2009,0,-1.1318,34.3128,-0.335410606,-99.9,,Brown et al. (2014)
7.7594,-58.3312,1,2009,0,-0.5046,34.6472,-0.334693255,-99.9,,Brown et al. (2014)
24.6381,-54.7528,1,2009,0,-1.2328,34.1053,-0.330520777,-99.9,,Brown et al. (2014)
-56.79229202,-62.50481227,3,2010,402.3152085,-0.8506,34.53387412,-0.33,-99.9,,Brown et al. (2014)
-56.67029959,-62.17087077,3,2010,104.7960021,-0.2939,34.28183952,-0.33,-99.9,,Brown et al. (2014)
-54.40541426,-61.04088476,3,2010,153.2681932,0.5757,34.31162351,-0.33,-99.9,,Brown et al. (2014)
-53.3715405,-60.73626667,3,2010,77.28599488,0.4474,34.23009069,-0.33,-99.9,,Brown et al. (2014)
-51.19411838,-60.2530131,3,2010,54.76542105,-0.3884,34.30766132,-0.33,-99.9,,Brown et al. (2014)
-49.27944131,-60.206853,3,2010,7.698465975,-0.3421,34.33322745,-0.33,-99.9,,Brown et al. (2014)
-48.58453352,-60.16547276,3,2010,49.79786679,-0.1296,34.33418435,-0.33,-99.9,,Brown et al. (2014)
-43.99973158,-60.92015,3,2010,201.2888789,-1.0166,34.41083949,-0.33,-99.9,,Brown et al. (2014)
-42.30989576,-60.66008,3,2010,6.285273862,-0.5459,33.77262947,-0.33,-99.9,,Brown et al. (2014)
-41.9744901,-60.60973824,4,2010,57.10151413,0.9043,34.11929041,-0.33,-99.9,,Brown et al. (2014)
-41.82996568,-60.58995609,4,2010,2917.039358,-0.262688815,34.65182922,-0.33,-99.9,,Brown et al. (2014)
-39.30008956,-60.4098893,4,2010,53.04592128,0.4378,34.07319705,-0.33,-99.9,,Brown et al. (2014)
-37.36984621,-60.46007739,4,2010,27.99333681,0.2329,34.10938865,-0.33,-99.9,,Brown et al. (2014)
-35.47556975,-60.30327887,4,2010,30.53628701,0.0674,34.05610292,-0.33,-99.9,,Brown et al. (2014)
-34.47180311,-60.03032384,4,2010,0,-0.5212,34.31050666,-0.33,-99.9,,Brown et al. (2014)
-32.94990722,-59.8802205,4,2010,0,-0.6066,34.32545683,-0.33,-99.9,,Brown et al. (2014)
29.9987,-54.005,2,2008,0,2.6652,33.8272,-0.33,-99.9,,Brown et al. (2014)
29.9983,-55.0095,2,2008,0,2.0017,33.8996,-0.33,-99.9,,Brown et al. (2014)
29.9983,-55.0095,2,2008,0,2.0808,33.8933,-0.33,-99.9,,Brown et al. (2014)
29.9959,-56.9991,2,2008,0,1.4404,33.9909,-0.33,-99.9,,Brown et al. (2014)
30.0003,-57.9998,2,2008,0,1.4118,33.8833,-0.33,-99.9,,Brown et al. (2014)
31.0482,-68.2674,3,2008,0,-1.4611,34.3807,-0.33,-99.9,,Brown et al. (2014)
31.0482,-68.2674,3,2008,0,-0.8913,34.0683,-0.33,-99.9,,Brown et al. (2014)
31.0482,-68.2674,3,2008,0,-0.8894,34.0664,-0.33,-99.9,,Brown et al. (2014)
31.2575,-68.3196,3,2008,0,-1.4573,34.369,-0.33,-99.9,,Brown et al. (2014)
31.3703,-68.3502,3,2008,0,-1.0146,33.9838,-0.33,-99.9,,Brown et al. (2014)
31.5311,-68.3996,3,2008,0,-1.317,34.0001,-0.33,-99.9,,Brown et al. (2014)
30.0001,-54.4999,1,2009,0,0.744,34.1547,-0.329737078,-99.9,,Brown et al. (2014)
22.2473,-56.2449,1,2009,0,-0.2371,33.6462,-0.324050406,-99.9,,Brown et al. (2014)
-56.67029959,-62.17087077,3,2010,305.9048756,-0.7599,34.47907427,-0.32,-99.9,,Brown et al. (2014)
-51.19411838,-60.2530131,3,2010,104.8656175,-0.4533,34.33173321,-0.32,-99.9,,Brown et al. (2014)
-50.54533295,-60.19321,3,2010,4.796499341,0.1717,34.31642378,-0.32,-99.9,,Brown et al. (2014)
-47.69576,-60.12625712,3,2010,1514.696303,0.0976,34.66525742,-0.32,-99.9,,Brown et al. (2014)
